mission_id,phase,phase_name,title,scope,depends_on,capability_selector,required_master_context,agent_context_budget,deliverables,exit_gate,status
M-001,0,Architecture Constitution,Ratify master contracts,"Freeze authority, resources, invariants, clean-room, approved stack and mission system.",,ALL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-002,0,Architecture Constitution,Ratify dependency/harvest registry,Architecture Constitution: Ratify dependency/harvest registry.,M-001,ALL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-003,0,Architecture Constitution,Ratify threat model and trust boundaries,Architecture Constitution: Ratify threat model and trust boundaries.,M-002,ALL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-004,1,Repository Foundation,Initialize monorepo and toolchain,"Monorepo, toolchain, CI, dependency policy, schema generation, local dev.",M-003,"REL,ENV",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-005,1,Repository Foundation,Establish schema/codegen pipeline,Repository Foundation: Establish schema/codegen pipeline.,M-004,"REL,ENV",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-006,1,Repository Foundation,Establish CI/security/dependency gates,Repository Foundation: Establish CI/security/dependency gates.,M-005,"REL,ENV",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-007,1,Repository Foundation,Establish local dev environment,Repository Foundation: Establish local dev environment.,M-006,"REL,ENV",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-008,2,Identity & Tenant Authority,Implement Account/Organization persistence,"Account, Organization, sessions, tenant authorization, audit baseline.",M-007,IAM,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-009,2,Identity & Tenant Authority,Implement authentication/session flows,Identity & Tenant Authority: Implement authentication/session flows.,M-008,IAM,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-010,2,Identity & Tenant Authority,Implement tenant/resource authorization,Identity & Tenant Authority: Implement tenant/resource authorization.,M-009,IAM,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-011,2,Identity & Tenant Authority,Implement audit baseline,Identity & Tenant Authority: Implement audit baseline.,M-010,IAM,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-012,3,Project Authority,Implement Project authority,"Project, Artifact, imports, lifecycle and canonical graph.",M-010,PRJ,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-013,3,Project Authority,Implement Artifact/ArtifactRelation,Project Authority: Implement Artifact/ArtifactRelation.,M-012,PRJ,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-014,3,Project Authority,Implement imports/templates lifecycle,"Establish the authoritative Project import/template lifecycle on top of accepted Project and Artifact authority. Preserve canonical Organization/Project ownership, tenant authorization, durable audit and provider-neutral trust boundaries. Provider-specific repository/design/deployment import adapters remain later capabilities and must not become Project authority.",M-013,PRJ,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
M-015,3,Project Authority,Implement project lifecycle E2E,Project Authority: Implement project lifecycle E2E.,M-014,PRJ,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,DONE
